name,price,emi,kilometer,fuel,transmission,link
2017 Mahindra Scorpio,6.50 lakh,"EMI ₹57,769/m","61,856 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-scorpio-2017-cars-noida-11216745725/
2021 Mahindra Thar,8.93 lakh,"EMI ₹15,290/m","54,240 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-gurgaon-11026166732/
2021 KIA SONET,6.68 lakh,"EMI ₹11,793/m","91,834 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2021-cars-faridabad-16306161727/
2019 Hyundai VENUE,4.90 lakh,"EMI ₹9,580/m","61,911 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-new-delhi-10097762753/
2020 Skoda Rapid,5.28 lakh,"EMI ₹9,321/m","39,463 km",Petrol,Manual,https://www.cars24.com/buy-used-skoda-rapid-2020-cars-new-delhi-10068260744/
2022 Skoda KUSHAQ,13.90 lakh,"EMI ₹23,800/m","39,483 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-new-delhi-10061563749/
2023 Tata TIGOR,3.99 lakh,"EMI ₹7,043/m","60,776 km",CNG,Manual,https://www.cars24.com/buy-used-tata-tigor-2023-cars-gurgaon-29660068770/
2022 Mahindra Thar,9.16 lakh,"EMI ₹15,684/m","43,511 km",Petrol,Manual,https://www.cars24.com/buy-used-mahindra-thar-2022-cars-noida-10509868740/
2019 Skoda Octavia,9.85 lakh,"EMI ₹16,866/m","86,649 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-octavia-2019-cars-new-delhi-10001363793/
2019 Renault Kwid,1.93 lakh,"EMI ₹3,407/m","63,301 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2019-cars-gurgaon-13324400766/
2021 Maruti New Wagon-R,3.74 lakh,"EMI ₹6,602/m","58,161 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-faridabad-10059066785/
2023 KIA CARNIVAL,34.00 lakh,"EMI ₹58,216/m","30,755 km",Diesel,Auto,https://www.cars24.com/buy-used-kia-carnival-2023-cars-new-delhi-10016968782/
2024 Tata NEXON EV,14.75 lakh,"EMI ₹25,256/m","29,329 km",Electric,Auto,https://www.cars24.com/buy-used-tata-nexon-ev-2024-cars-new-delhi-10033068733/
2019 Tata Tiago,3.24 lakh,"EMI ₹5,719/m","57,314 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2019-cars-ghaziabad-11235460708/
2020 MG HECTOR PLUS,8.40 lakh,"EMI ₹14,383/m","70,261 km",Petrol,Manual,https://www.cars24.com/buy-used-mg-hector-plus-2020-cars-noida-10516361749/
2025 BMW 2 SERIES GRAN COUPE,39.50 lakh,"EMI ₹67,634/m","3,553 km",Petrol,Auto,https://www.cars24.com/buy-used-bmw-2-series-gran-coupe-2025-cars-new-delhi-10066264737/
2024 Hyundai ALCAZAR,18.50 lakh,"EMI ₹31,677/m","4,227 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-alcazar-2024-cars-new-delhi-10060164782/
2024 Mahindra Thar Roxx,22.50 lakh,"EMI ₹38,525/m","23,963 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-thar-roxx-2024-cars-new-delhi-10047969748/
2016 Maruti Baleno,2.71 lakh,"EMI ₹6,028/m","76,509 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-gurgaon-10165061781/
2015 Ford Figo Aspire,1.85 lakh,"EMI ₹4,872/m","1,00,082 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2015-cars-noida-10023968794/
2024 Mahindra XUV700,23.00 lakh,"EMI ₹39,382/m","20,913 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2024-cars-new-delhi-10032664786/
2024 Tata Curvv EV,16.75 lakh,"EMI ₹28,680/m","20,590 km",Electric,Auto,https://www.cars24.com/buy-used-tata-curvv-ev-2024-cars-new-delhi-10006561733/
2024 Tata Tiago,4.10 lakh,"EMI ₹7,238/m","8,717 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2024-cars-gurgaon-10139863769/
2024 MG HECTOR PLUS,17.50 lakh,"EMI ₹29,964/m","24,606 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-plus-2024-cars-new-delhi-10061961735/
2021 Maruti S PRESSO,2.44 lakh,"EMI ₹4,307/m","39,324 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-gurgaon-10106563783/
2018 Ford Figo Aspire,2.93 lakh,"EMI ₹5,172/m","50,325 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2018-cars-noida-11219669705/
2020 MG HECTOR,7.80 lakh,"EMI ₹13,769/m","85,500 km",Petrol,Manual,https://www.cars24.com/buy-used-mg-hector-2020-cars-new-delhi-10084167727/
2019 Maruti Dzire,3.79 lakh,"EMI ₹6,690/m","51,963 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-ghaziabad-10010968780/
2017 Hyundai New Elantra,6.02 lakh,"EMI ₹11,776/m","75,804 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-new-elantra-2017-cars-ghaziabad-10582864748/
2020 Tata Harrier,6.98 lakh,"EMI ₹18,381/m","92,457 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-harrier-2020-cars-gurgaon-10062769752/
2022 MG GLOSTER,29.50 lakh,"EMI ₹56,151/m","8,603 km",Diesel,Auto,https://www.cars24.com/buy-used-mg-gloster-2022-cars-new-delhi-10033162730/
2017 Skoda Superb,12.75 lakh,"EMI ₹24,268/m","36,581 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-superb-2017-cars-new-delhi-10065565737/
2022 MG ASTOR,6.78 lakh,"EMI ₹11,969/m","19,666 km",Petrol,Manual,https://www.cars24.com/buy-used-mg-astor-2022-cars-gurgaon-10153862740/
