name,price,emi,kilometer,fuel,transmission,link
2015 Toyota Corolla Altis,4.50 lakh,"EMI ₹11,850/m","1,20,681 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-bangalore-10237165762/
2019 KIA SELTOS,10.07 lakh,"EMI ₹17,242/m","44,937 km",Petrol,Auto,https://www.cars24.com/buy-used-kia-seltos-2019-cars-bangalore-10234563748/
2019 Skoda Octavia,9.45 lakh,"EMI ₹20,547/m","1,12,874 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-octavia-2019-cars-bangalore-23653661735/
2024 Maruti Celerio,5.41 lakh,"EMI ₹9,550/m","16,307 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-celerio-2024-cars-bangalore-10289767702/
2022 KIA CARENS,12.75 lakh,"EMI ₹21,831/m","83,166 km",Diesel,Auto,https://www.cars24.com/buy-used-kia-carens-2022-cars-bangalore-10225160763/
2021 Hyundai NEW SANTRO,4.46 lakh,"EMI ₹7,873/m","47,754 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-new-santro-2021-cars-bangalore-10293467722/
2018 Renault Duster,6.60 lakh,"EMI ₹12,903/m","40,910 km",Diesel,Manual,https://www.cars24.com/buy-used-renault-duster-2018-cars-bangalore-10234867701/
2018 Datsun Go,2.65 lakh,"EMI ₹4,678/m","68,548 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-go-2018-cars-bangalore-14013566780/
2023 Maruti Baleno,7.59 lakh,"EMI ₹13,398/m","67,843 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-baleno-2023-cars-bangalore-10202563706/
2019 Renault Captur,5.33 lakh,"EMI ₹11,856/m","1,31,819 km",Diesel,Manual,https://www.cars24.com/buy-used-renault-captur-2019-cars-bangalore-10817361780/
2018 Hyundai Grand i10,4.30 lakh,"EMI ₹7,591/m","52,665 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-bangalore-10270869741/
2016 Honda Jazz,3.47 lakh,"EMI ₹7,719/m","81,863 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2016-cars-bangalore-10232164730/
2022 Mahindra XUV700,17.30 lakh,"EMI ₹29,622/m","18,173 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2022-cars-bangalore-10265961763/
2018 Renault Duster,5.56 lakh,"EMI ₹9,812/m","46,667 km",Petrol,Auto,https://www.cars24.com/buy-used-renault-duster-2018-cars-bangalore-10269668760/
2016 Maruti Celerio,3.11 lakh,"EMI ₹6,918/m","35,597 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-bangalore-10234562737/
2017 Maruti Dzire,5.12 lakh,"EMI ₹10,010/m","62,739 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-bangalore-10281867700/
2016 Hyundai i10,2.94 lakh,"EMI ₹6,540/m","53,631 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-bangalore-10219860742/
2015 Renault Duster,4.14 lakh,"EMI ₹10,893/m","64,306 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-duster-2015-cars-bangalore-10267768764/
2015 Renault Duster,3.70 lakh,"EMI ₹12,289/m","1,25,755 km",Diesel,Manual,https://www.cars24.com/buy-used-renault-duster-2015-cars-bangalore-11118965748/
2019 Tata NEXON,7.03 lakh,"EMI ₹12,409/m","45,208 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2019-cars-bangalore-10442466734/
2021 Hyundai VENUE,7.35 lakh,"EMI ₹12,975/m","49,785 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-bangalore-10278363706/
2019 Renault TRIBER,3.92 lakh,"EMI ₹6,921/m","84,521 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-triber-2019-cars-bangalore-10240861756/
2017 Tata Tiago,2.86 lakh,"EMI ₹5,591/m","98,746 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tiago-2017-cars-bangalore-10230367739/
2015 Toyota Corolla Altis,5.59 lakh,"EMI ₹14,721/m","85,878 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-bangalore-10238867748/
2018 Mahindra KUV 100 NXT,3.59 lakh,"EMI ₹6,337/m","83,476 km",Petrol,Manual,https://www.cars24.com/buy-used-mahindra-kuv-100-nxt-2018-cars-bangalore-10849962742/
2023 Maruti Celerio,5.35 lakh,"EMI ₹9,444/m","27,854 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2023-cars-bangalore-10211163708/
2020 KIA SELTOS,9.47 lakh,"EMI ₹16,215/m","93,096 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10258662702/
2021 Maruti Swift,5.09 lakh,"EMI ₹8,985/m","27,709 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2021-cars-bangalore-10227865797/
2019 Hyundai VENUE,7.49 lakh,"EMI ₹13,222/m","70,291 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-bangalore-10231767705/
2019 Maruti Swift,4.90 lakh,"EMI ₹8,649/m","62,837 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2019-cars-bangalore-10278468735/
2022 Maruti Baleno,6.74 lakh,"EMI ₹11,898/m","36,483 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2022-cars-bangalore-10248167717/
2021 Renault Duster,6.20 lakh,"EMI ₹13,792/m","1,12,040 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-duster-2021-cars-bangalore-10245760728/
2022 Mahindra XUV700,18.90 lakh,"EMI ₹41,093/m","1,29,475 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2022-cars-bangalore-11149860705/
2022 Maruti Ciaz,7.81 lakh,"EMI ₹13,789/m","45,939 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ciaz-2022-cars-bangalore-10213865761/
2020 Hyundai NEW I20,6.99 lakh,"EMI ₹12,339/m","41,392 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-new-i20-2020-cars-bangalore-10256667702/
2014 Toyota Innova,7.42 lakh,"EMI ₹34,943/m","72,161 km",Diesel,Manual,https://www.cars24.com/buy-used-toyota-innova-2014-cars-bangalore-10211764708/
2021 Mahindra Thar,13.10 lakh,"EMI ₹22,430/m","88,561 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-bangalore-10282768726/
2015 Datsun Go,1.75 lakh,"EMI ₹4,608/m","48,646 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-go-2015-cars-bangalore-10293562742/
2021 Hyundai VENUE,7.39 lakh,"EMI ₹13,045/m","75,584 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-bangalore-10230365709/
2024 Maruti FRONX,7.58 lakh,"EMI ₹13,382/m","33,765 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-fronx-2024-cars-bangalore-10247669769/
2023 Maruti FRONX,6.49 lakh,"EMI ₹14,437/m","1,11,061 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-fronx-2023-cars-bangalore-10223869707/
2021 Tata Tiago,4.48 lakh,"EMI ₹7,908/m","42,735 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2021-cars-bangalore-10242864735/
2018 Volkswagen Polo,5.48 lakh,"EMI ₹9,674/m","84,790 km",Petrol,Auto,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-bangalore-10273964730/
2018 Maruti New Wagon-R,3.67 lakh,"EMI ₹6,479/m","51,314 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2018-cars-bangalore-10265666725/
2021 Mahindra Thar,9.73 lakh,"EMI ₹16,660/m","40,573 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-bangalore-10212663786/
