name,price,emi,kilometer,fuel,transmission,link
2020 Honda Jazz,5.65 lakh,"EMI ₹9,974/m","66,875 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-jazz-2020-cars-hyderabad-10426466728/
2022 KIA SONET,11.10 lakh,"EMI ₹19,006/m","63,992 km",Diesel,Auto,https://www.cars24.com/buy-used-kia-sonet-2022-cars-hyderabad-10477762744/
2019 KIA SELTOS,8.23 lakh,"EMI ₹14,092/m","70,038 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-seltos-2019-cars-hyderabad-10014162705/
2019 Maruti Wagon R 1.0,3.72 lakh,"EMI ₹6,567/m","91,732 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2019-cars-hyderabad-10417769703/
2018 Hyundai Grand i10,3.87 lakh,"EMI ₹6,831/m","67,914 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-hyderabad-10459168745/
2018 Maruti Vitara Brezza,6.74 lakh,"EMI ₹13,184/m","99,300 km",Diesel,Auto,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-hyderabad-10490560709/
2022 Volkswagen Polo,6.74 lakh,"EMI ₹11,894/m","65,093 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2022-cars-hyderabad-10465260708/
2019 MG HECTOR,9.36 lakh,"EMI ₹16,033/m","44,200 km",Petrol,Manual,https://www.cars24.com/buy-used-mg-hector-2019-cars-hyderabad-10413561744/
2017 Hyundai Verna,7.16 lakh,"EMI ₹15,925/m","84,837 km",Diesel,Auto,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-hyderabad-10497660707/
2019 Maruti Alto K10,2.61 lakh,"EMI ₹4,603/m","88,733 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-hyderabad-10496165707/
2015 Hyundai Eon,2.01 lakh,"EMI ₹5,282/m","60,963 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2015-cars-hyderabad-10492461739/
2016 Maruti Vitara Brezza,6.16 lakh,"EMI ₹16,211/m","97,365 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-hyderabad-10489068700/
2018 Toyota YARIS,5.69 lakh,"EMI ₹10,046/m","65,700 km",Petrol,Auto,https://www.cars24.com/buy-used-toyota-yaris-2018-cars-hyderabad-10487665708/
2023 Maruti JIMNY,10.40 lakh,"EMI ₹17,803/m","16,427 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-jimny-2023-cars-hyderabad-10484167763/
2023 Maruti XL6,9.74 lakh,"EMI ₹16,670/m","28,343 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-xl6-2023-cars-hyderabad-10478262700/
2021 MG HECTOR,10.94 lakh,"EMI ₹18,730/m","67,237 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2021-cars-hyderabad-10475669762/
2021 Maruti Alto,3.25 lakh,"EMI ₹5,731/m","36,566 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-2021-cars-hyderabad-10467667766/
2016 Hyundai Creta,6.80 lakh,"EMI ₹15,129/m","81,880 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-hyderabad-10464561708/
2020 Ford Figo Aspire,5.13 lakh,"EMI ₹9,052/m","30,883 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2020-cars-hyderabad-10457066763/
2016 Honda BR-V,5.76 lakh,"EMI ₹12,817/m","70,649 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-br-v-2016-cars-hyderabad-10456964702/
2020 Hyundai VENUE,6.36 lakh,"EMI ₹11,234/m","88,104 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-hyderabad-10456762706/
2021 Maruti New Wagon-R,5.00 lakh,"EMI ₹8,833/m","58,411 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-hyderabad-10450265708/
2018 Hyundai Creta,8.24 lakh,"EMI ₹14,107/m","65,464 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-hyderabad-10448061763/
2018 Hyundai Grand i10,3.87 lakh,"EMI ₹6,832/m","84,142 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-hyderabad-10447005711/
2025 Maruti Alto K10,5.18 lakh,"EMI ₹9,138/m","13,828 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-alto-k10-2025-cars-hyderabad-10444065765/
2020 Tata Harrier,11.32 lakh,"EMI ₹24,619/m","1,15,220 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-harrier-2020-cars-hyderabad-10437660749/
2021 Hyundai VENUE,7.65 lakh,"EMI ₹13,505/m","25,736 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-hyderabad-10436869703/
2017 Mahindra TUV300,5.29 lakh,"EMI ₹11,758/m","55,159 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-tuv300-2017-cars-hyderabad-10436863702/
2021 Hyundai NEW I20,7.95 lakh,"EMI ₹14,029/m","84,368 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-new-i20-2021-cars-hyderabad-10433365701/
2018 Hyundai Verna,6.88 lakh,"EMI ₹12,148/m","57,585 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-hyderabad-10428767765/
2015 Maruti Alto 800,1.84 lakh,"EMI ₹4,854/m","61,808 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-hyderabad-10428564709/
2013 Hyundai Verna,4.09 lakh,"EMI ₹19,262/m","1,07,943 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-verna-2013-cars-hyderabad-10427964723/
2018 Tata TIGOR,4.30 lakh,"EMI ₹7,599/m","72,637 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tigor-2018-cars-hyderabad-10426767708/
2016 Maruti Wagon R 1.0,2.90 lakh,"EMI ₹6,449/m","68,151 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-hyderabad-10423461705/
2015 Honda Amaze,3.77 lakh,"EMI ₹9,925/m","83,389 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2015-cars-hyderabad-10420167708/
